Comment,Like,Share,Interactions,Type
4,79,17,100,Photo
5,130,29,164,Status
0,66,14,80,Photo
58,1572,147,1777,Photo
19,325,49,393,Photo
1,152,33,186,Status
3,249,27,279,Photo
0,325,14,339,Photo
0,161,31,192,Status
3,113,26,142,Photo
0,233,19,,Status
0,88,18,106,Photo
0,90,14,104,Photo
5,137,10,152,Photo
2,577,20,599,Photo
4,86,18,108,Status
2,40,12,54,Photo
15,678,20,713,Photo
4,54,17,,Status
0,34,8,42,Photo
3,66,12,81,Photo
0,0,0,0,Photo
0,72,24,96,Photo
3,99,19,121,Status
0,88,18,106,Status
10,412,72,494,Status
0,100,17,117,Photo
36,523,63,622,Photo
33,107,22,162,Photo
1,27,11,39,Photo
2,155,47,204,Photo
4,98,23,125,Photo
2,56,17,75,Photo
6,172,21,199,Photo
0,96,17,113,Photo
16,76,8,100,Photo
11,227,31,269,Status
1,44,14,59,Photo
7,216,39,262,Status
7,26,3,,Photo
0,47,11,58,Photo
4,174,36,214,Status
0,77,15,92,Photo
1,48,9,,Photo
24,285,28,337,Photo
9,202,31,242,Photo
4,64,19,87,Photo
4,66,13,83,Photo
2,164,54,220,Photo
0,40,13,53,Photo
3,76,11,90,Photo
4,139,17,160,Photo
8,101,14,123,Photo
8,144,10,162,Photo
10,179,13,202,Photo
4,219,22,245,Photo
2,60,7,69,Photo
19,77,23,119,Photo
0,48,7,55,Photo
20,697,70,787,Photo
0,53,17,70,Photo
7,84,28,119,Photo
7,146,9,162,Photo
3,226,44,273,Status
14,172,47,233,Photo
20,411,74,505,Photo
0,0,0,0,Photo
4,85,8,97,Photo
0,56,8,64,Photo
2,29,7,38,Photo
2,86,13,101,Status
18,370,53,441,Photo
5,190,57,252,Photo
2,101,19,122,Photo
2,99,16,117,Status
10,140,8,158,Photo
3,270,38,311,Photo
3,30,6,39,Photo
2,107,17,126,Photo
13,331,77,421,Photo
0,78,13,91,Photo
9,301,32,342,Photo
2,111,16,129,Photo
2,124,22,148,Photo
5,153,27,185,Photo
3,51,11,65,Photo
1,115,26,142,Photo
7,310,61,378,Status
12,328,90,430,Photo
0,0,0,0,Photo
26,1505,95,1626,Photo
2,63,14,79,Photo
0,13,4,17,Photo
4,59,9,72,Photo
42,955,139,1136,Photo
9,181,32,222,Photo
17,193,28,238,Status
7,125,16,148,Photo
4,217,50,271,Status
2,28,4,34,Photo
4,117,18,139,Photo
2,79,16,97,Photo
0,15,2,17,Photo
0,4,2,6,Photo
1,431,26,458,Photo
0,7,0,7,Photo
0,7,2,9,Photo
0,6,2,8,Photo
0,2,,2,Photo
6,186,40,232,Status
1,1,2,4,Photo
1,3,2,6,Photo
0,7,,7,Photo
0,7,2,9,Photo
3,198,41,242,Photo
0,9,1,10,Photo
0,4,1,5,Photo
0,3,0,3,Photo
0,8,2,10,Photo
0,7,3,10,Photo
1,7,2,10,Photo
0,11,1,12,Photo
2,28,4,34,Photo
0,56,12,68,Photo
4,32,3,39,Photo
0,129,25,154,Status
4,77,19,100,Photo
2,227,36,265,Status
60,859,90,1009,Status
10,377,60,447,Photo
3,41,9,53,Photo
6,76,14,96,Photo
0,189,15,204,Photo
0,80,14,94,Photo
3,148,28,179,Status
24,302,41,367,Photo
2,166,32,200,Photo
47,358,49,454,Photo
7,161,25,193,Photo
13,319,55,387,Photo
0,54,16,70,Photo
